Accreditation code,Power station name,State,Postcode,Installed capacity (MW),Fuel Source (s),Accreditation start date,Approval date
SRPXVCD6,Rivercrest Christian College - Solar w SGU - VIC,VIC,3978,0.190,Solar,23/06/2023,25/01/2024
SRPVWAJ8,Yalgoo Renewable Energy Facility - Solar and BESS - WA,WA,6635,0.214,Solar,27/06/2023,25/01/2024
SRPXVCI0,My Muscle Chef - Yennora - Solar w SGU - NSW,NSW,2161,0.550,Solar,17/01/2024,29/01/2024
SRPXQL84,Woolworths Ayr 2563 - Solar - QLD,QLD,4807,0.216,Solar,16/01/2024,29/01/2024
SRPXNSO6,AU144/178 Oakdale West 3B1 - Solar - NSW,NSW,2178,0.250,Solar,16/10/2023,30/01/2024
SRPXVCJ4,Austral Plant Services Dandenong Ext � Solar w SGU � VIC,VIC,3175,0.180,Solar,16/01/2024,30/01/2024
SRPVQLV1,Mareeba Water Treatment Plant - Solar - QLD,QLD,4880,0.144,Solar,3/03/2022,30/01/2024
SRPXNSS7,PEPE'S DUCKS HAM ST - SOLAR - NSW,NSW,2756,0.205,Solar,18/01/2024,30/01/2024
SRPXNSS9,Signature Care Wagga Wagga Community Aged Care w SGU - Solar - NSW,NSW,2650,0.200,Solar,22/01/2024,30/01/2024
SRPVQLZ4,Woolworths Redland Bay Shopping Centre 2714 - Solar - QLD,QLD,4165,0.200,Solar,14/03/2023,30/01/2024
SRPXNSG8,AU525 Oakdale Industrial Estate WH1&2 - Solar - NSW,NSW,2178,0.640,Solar,18/04/2023,2/02/2024
SRPXVCE4,Cutri Fruit - Solar w SGU - VIC,VIC,3589,0.189,Solar,30/06/2023,2/02/2024
SRPXVCG5,DHLS Truganina WH2 - Solar - VIC,VIC,3029,0.200,Solar,21/09/2023,2/02/2024
SRPXQL91,Logan Rd Upper Mount Gravatt - Solar - QLD,QLD,4122,0.346,Solar,24/01/2024,2/02/2024
SRPVQLV2,Mareeba Wastewater Plant - Solar PV - QLD,QLD,4880,0.130,Solar,4/03/2022,2/02/2024
SRPXQL09,RNA Showgrounds Bowen Hills - Solar w SGU - QLD,QLD,4006,0.601,Solar,15/06/2023,2/02/2024
SRPXNSF5,Roseville College - Solar PV w SGU - NSW,NSW,2069,0.237,Solar,1/03/2023,2/02/2024
SRPXNST0,MWSC Microgrid - Solar - NSW,NSW,2647,0.351,Solar,25/01/2024,5/02/2024
SRPXQL44,28 Weyba St - Solar - QLD,QLD,4014,0.149,Solar,3/10/2023,9/02/2024
SRPXQL85,Blue Care Carina - Solar - QLD,QLD,4152,0.368,Solar,22/01/2024,9/02/2024
SRPXQL87,Blue Care Mt Louisa - Solar w SGU - QLD,QLD,4814,0.322,Solar,22/01/2024,9/02/2024
SRPXQL86,Blue Care Redcliffe - Solar w SGU - QLD,QLD,4020,0.220,Solar,22/01/2024,9/02/2024
SRPVTA21,Bunnings Burnie - Solar - TAS,TAS,7320,0.220,Solar,24/10/2023,9/02/2024
SRPVTA22,Bunnings Glenorchy - Solar - TAS,TAS,7010,0.400,Solar,24/10/2023,9/02/2024
SRPXNSP2,Bunnings Narellan - Solar - NSW,NSW,2567,0.160,Solar,24/10/2023,9/02/2024
SRPXNSQ7,Charter Hall Eastern Creek-Solar-NSW,NSW,2766,2.000,Solar,4/12/2023,9/02/2024
SRPXNST4,COCHLEAR LANE COVE CARPORT - SOLAR - NSW,NSW,2066,0.438,Solar,2/02/2024,9/02/2024
SRPXVCD8,"Cooper St, Epping - Solar w SGU - VIC",VIC,3076,1.984,Solar,28/06/2023,9/02/2024
SRPXNSM4,Eastern Creek Quarters (Frasers) - Solar W SGU - NSW,NSW,2766,0.300,Solar,13/09/2023,9/02/2024
WD00SA23,Goyder South Wind Farm 1A - Wind - SA,SA,5417,200.982,Wind,11/02/2024,9/02/2024
SRPXNSN0,Oran Park Commercial 2  - Solar  - NSW,NSW,2570,0.166,Solar,26/09/2023,9/02/2024
SRPXNSR5,SCHO005-Solar-NSW,NSW,2762,0.120,Solar,23/01/2024,9/02/2024
SRPXNSS1,UTS Building A/B - Solar - NSW,NSW,2019,0.540,Solar,11/01/2024,9/02/2024
SRPXNSL7,VEROSOL (AUSTRALIA) PTY. LTD - Solar w SGU - NSW,NSW,2212,0.300,Solar,22/08/2023,9/02/2024
SRPVSAU4,Woolworths Renmark 5608 - Solar - SA,SA,5341,0.315,Solar,13/09/2023,9/02/2024
SRPXNSO5,AU144/178 Oakdale West 3B2 - Solar - NSW,NSW,2178,0.250,Solar,16/10/2023,15/02/2024
SRPXQL66,AU260 Rochedale Motorway Estate - Solar - QLD,QLD,4123,0.414,Solar,8/11/2023,15/02/2024
SRPXQL67,AU267 Rochedale Motorway Estate - Solar - QLD,QLD,4123,0.282,Solar,8/11/2023,15/02/2024
SRPXNST2,Bentinck St Bathurst - Solar w SGU- NSW,NSW,2795,0.601,Solar,30/01/2024,15/02/2024
SRPXNSE3,"Casswell Terrace, McDougalls Hill - Solar - NSW",NSW,2330,0.211,Solar,9/11/2023,15/02/2024
SRPXNSI2,"Clunies Ross St, Prospect - Solar - NSW",NSW,2148,0.303,Solar,24/05/2023,15/02/2024
SRPXQL90,Gilston Rd & New St Nerang - Solar - QLD,QLD,4211,0.504,Solar,24/01/2024,15/02/2024
SRPXVCB5,Huntingtower School - Solar wSGU � VIC,VIC,3149,0.210,Solar,15/02/2023,15/02/2024
SRPVWAI5,Karratha Leisureplex PV System - Solar - WA,WA,6714,0.802,Solar,26/09/2023,15/02/2024
SRPVWAK2,Norseman Renewable Energy Facility - Solar - WA,WA,6443,0.765,Solar,30/01/2024,15/02/2024
SRTHVC01,Raygen Power Plant Carwarp - Solar - VIC,VIC,3494,7.662,Solar,8/12/2022,15/02/2024
SRPXQL79,St Josephs Mt Isa - Solar w SGU - QLD,QLD,4825,0.145,Solar,21/11/2023,15/02/2024
SRPXNSK7,18 Loyalty Road - Solar - NSW,NSW,2151,0.166,Solar,2/08/2023,22/02/2024
SRPXNSS2,AU865 PortAir Industrial Estate - Solar - NSW,NSW,2019,0.189,Solar,15/01/2024,22/02/2024
SRPVNT77,BARKLY HOMESTEAD- OFFGRID-SOLAR-NT,NT,0862,0.450,Solar,2/12/2023,22/02/2024
SRPXNSN2,Dimmar Minto - Solar w SGU - NSW,NSW,2566,0.409,Solar,22/09/2023,22/02/2024
SRPXNSO2,Fletchers International Grain Terminal - Solar w SGU - NSW,NSW,2830,0.502,Solar,4/10/2023,22/02/2024
SRPXNSS0,Lake Edge Resort- Solar W SGU- NSW,NSW,2647,0.172,Solar,16/01/2024,22/02/2024
SRPVSAU9,Loxton - Solar - SA,SA,5333,0.198,Solar,26/10/2023,22/02/2024
SRPXVCH5,SIGNCRAFT PTY - Solar - VIC,VIC,3025,0.198,Solar,9/11/2023,22/02/2024
SRPXNSQ5,AU169 Aust Post Oakdale West 2A - Solar - NSW,NSW,2178,0.750,Solar,28/11/2023,23/02/2024
SRPXNSS8,CCLHD - Wyong Hospital - Solar - NSW,NSW,2259,0.677,Solar,22/01/2024,23/02/2024
BEBGQL36,Coombabah Waste Water Treatment Plant - Sewage Gas - QLD,QLD,4216,0.550,Sewage Gas and Biomass-Based Components of Sewage,18/01/2023,23/02/2024
SRPXNSL4,Deniliquin RSL Microgrid - Solar - NSW,NSW,2710,0.276,Solar,15/08/2023,23/02/2024
SRPVWAF2,Ningaloo Visitors Center - Solar wSGU -WA,WA,6707,0.260,Solar,22/04/2022,23/02/2024
SRPXVCH4,Signature Care Officer Community Aged Care - Solar w SGU - VIC,VIC,3809,0.200,Solar,28/11/2023,23/02/2024
SRPXVC96,"1 Botero Place, Truganina - Solar - VIC",VIC,3029,0.354,Solar,8/09/2022,26/02/2024
SRPXNSN7,ELF FARM SUPPLIES_System 1 - Solar w SGU - NSW,NSW,2756,0.274,Solar,13/10/2023,26/02/2024
